user,pool,block,lpvalue
0x0000000040307ca0aeb9adaf516fc7028528fb58,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0000046b4edeb007123e0db9bc4d04247b9adc4a,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x00341638704e87358c34b2886a5fc2f76ee4f8a3,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,1.1369
0x0034e7b3b215711420de5bce17b2efbcd37c1031,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,14.2094
0x00409fc839a2ec2e6d12305423d37cd011279c09,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,155.988
0x008c329ffe861f8e0b1c83dfc14aa134dc4b5a6d,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x008d7a063eb5f7c706b72fbe48ce532defe153d1,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,67.9459
0x00b4ec94d42550a4c8856e31ed98b488fbf02487,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x00cc1e6ed4d6afea76f7104f7f2f0d20f255a24e,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,7.0394
0x00dcab93b13eaf69bbd0f4745711902a25992f70,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0176
0x00ddef650c58176506f692cc4424772bba64c639,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x00ea774d49e1728294cbcff2268072d46959b941,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.9866
0x0110be3ec46ef7d653f36aced360103ebcbde338,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x012e868121db86b3dac062f58cdc797c8879ce7e,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x013dc58038d6ac9a2ac79ad9b1d6b246168f8def,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,2.988
0x014603be2f4e4baa0c69945559c3f6b422ab8796,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.5477
0x018511fb3754017b4befc357c35ee51481c711f7,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x01a1f06e4ba8066a8b6aeb40a584644b45fcf2cd,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,42.8233
0x01d6780fa5fbbbf64d6d482f8b0a8511b942a0a7,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.8348
0x01d7e134ed9162b629caa195de6ca1d323b3d409,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0051
0x01e95e03b0656f515f87a541b8dc3a43aab0a3fb,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,20.6384
0x020e4ccffd0ec28e450a3343ac19246cf2b3784b,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x020e4ccffd0ec28e450a3343ac19246cf2b3784b,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.0
0x0227f8905d2130d3d436d3f814fa29d86a490044,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x02406b4a75a0ad97aeec4f3efff7067c3fb83352,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,2.0675
0x0295e59b13844b75ef9e54ebc0f9fec8a91389e2,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,20.0209
0x02ba90b366ba0680cc36db9ee7705fe063a35986,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,25.1889
0x02c377d7178c4e1063e8a1b114ad77672706b504,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x02c5d02791dfba38300a8d553207b2e02b792883,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0001
0x02c844016eb93c863d1b32f70392aeb3a5c38ac5,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x02dee6ecfe97a2b3f87319b0d85bb23a021dc250,0x89aa47e1ccb8d4a5b1119358182f06d04471109d,4749316,0.8605
0x02e2e82bf6f79d92e0d776e85a56739d223a4914,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,2.855
0x02e2e82bf6f79d92e0d776e85a56739d223a4914,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0199
0x02e2e82bf6f79d92e0d776e85a56739d223a4914,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x02e456178c294eaf0ef6ad0c275d4ec1a52b3eb0,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0008
0x0307dc5149d7cb1c3ef826dc16a227b5308900a6,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x031b0fc4b82eee08f32beac3a58edc3c85ed1666,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x03439743652496291b17dddba5a93b9d8b9eb20d,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0352510add4fd4072d2aa76fbd9126c31c781900,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x03561162f2920681060c19994927b93142993ce7,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.6978
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x038ea32b1f8b500aabfa9c08b3adb37a58a51fb8,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x03916727aacfce46a9e589fbb02a087605c53d49,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x03916727aacfce46a9e589fbb02a087605c53d49,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0399e7720626dd7a7b0577771486f25f573cac09,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x03b85e2b0be645c496ea92163906e3e3be30ce04,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,0.9541
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x04627b24ede101b0a92211a92f996eda3fa6cc75,4749316,0.0
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x1642f47369c3e3d2914bfe2e1ce26ddc655497fe,4749316,0.0815
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,139.5342
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x7c2179f3181fe5f71bb077aa3edfa8ad22773fde,4749316,4.617
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,21.0282
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x89aa47e1ccb8d4a5b1119358182f06d04471109d,4749316,0.7143
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x8adce3d61884eb18d1bd1cb3256066c8d48fc30c,4749316,0.0
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x93b4d05c8f17fccade2006bb993508d6aba43930,4749316,2.6871
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0x979fd53b7c7d886b651915721378edbce603fb86,4749316,0.028
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0xc8dab61bc9d83123649691120d1c8350e41abd60,4749316,12.6317
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,45.134
0x03d4c4b1b115c068ef864de2e21e724a758892a2,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,17.0939
0x03d6edd0b7538c2d2b00fe424c6bccc9c6df2a0d,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,20.65
0x03fbd82e7e96df3cfeffa9c03cb3cd9a1b196186,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,101.1506
0x040cc869e1a9987f95c8e925dd0d10b0d3d20271,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x042250b15d933dbf475256c4063d60d0566d4149,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.1592
0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x043951150857e82d8f59bcabf1cf4ef99fb9ae03,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x0473a13cb3088ebd0092ea137170508da3f7fb8c,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.1145
0x0483800e97dc0a2cf5098eb99d5e87b5499e4e1e,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,6.6191
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x04a5c503a26c9bec8096a4c1152c0fba9061743f,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,22.998
0x04fb62160d0dcbeb0b52a0e644fc22d6cd2c58ab,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,1.7713
0x04fc124e9b586d7e23a5fef428bcca7452809e71,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x05014e7612d40cb1d6decd3b40e060467b1ffccb,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,37.3722
0x05096597ebc29bde93ade9853ec985cc6fc65109,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,138.6495
0x051125dc742ca3bee3a341fc46cf282aeac0d7c9,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,72.9116
0x05366f4b55b1e7f348d891386d81b91743090437,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x054e195fb76e5beadb8d11b835714f51b19a732e,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,49.9858
0x05541dc763e9b45c65a6b78ebec86aa8e1319da2,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,7.4967
0x055ae481714e8136c1569dcf0f36c6671dfb18e4,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x055f5f8650b82a9a7aeeb124a67eeff4d8f2515f,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0578
0x0565a837fcd4c1ce0cf6fcdf0069ff0f83e04d20,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0573c5c8d84a892217ecbce14226394beb8329c4,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0355
0x057f7cb5613fb82f04b6804f02a9699a77ae38cc,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,9.9945
0x0589c7decedae61b46f40e959f830601209ee20c,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x05ad5b9767b9f6e0d7c518a04db18154d72b01eb,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,27.5016
0x05b3347ce442ac02117c86a42fc6b81fda31b47f,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x05d58e1f96024495057c8aab21794448ccc85269,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x05d8fa8346470be95c8fa94300ccb313c0775c6c,0x04627b24ede101b0a92211a92f996eda3fa6cc75,4749316,0.0
0x05d8fa8346470be95c8fa94300ccb313c0775c6c,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x05d8fa8346470be95c8fa94300ccb313c0775c6c,0xc8dab61bc9d83123649691120d1c8350e41abd60,4749316,0.0
0x05e88d8877766558b19613adbf38cdaba779b854,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,5.3124
0x05fecc09574a9929f101dd00f9fb6cff25073fe9,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.9734
0x0611bf5a24c05264a940da19e98235c3b873ebaa,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0630717c9c6baeabd2b0852e09df08febaccd227,0xc8dab61bc9d83123649691120d1c8350e41abd60,4749316,0.0
0x0636b47164ea3099c6fc39c52a3f4b7b7ecaa03b,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,259.5401
0x06468595853452928db3df2dd2bc892f93cdb202,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x06788c81a3bbbf736221fa33ce35cffa5be31906,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,2.1264
0x06789f6b751b076ac404bc82c2bd0336fd1a123a,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.0
0x06796233708702a0b147a43eeb26fc7d8ad63311,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x067f0f9d404e91d02ea91a4eebd83a5d9b896b12,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x06b1f8f06c4296077ddf1effdc8126f0a3550cf6,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x06c90744b36fefc20d17018ba3dc31a00e922222,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,291.7367
0x06d8be31f38ce91d041c3cd115ce76649ff89665,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,31.3719
0x06dc0da48690d4c99fe8d162877adf5f6f3c0054,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,0.0
0x06dc0da48690d4c99fe8d162877adf5f6f3c0054,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,51.065
0x073f9031defddf4f72d59753191f11cb9220aecb,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,6.2374
0x0742d347791a82f5b3ab5836c618501b7c459aa9,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x075a4bd432e8e862733c8e41efb773d604f35e5c,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x076e3a5b69a627928df8f3a46237c5cb23d7426f,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,2.3499
0x0778a8831af0f6ae36f67224c59036cd29d162e2,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x078e5043d6a32b5242a3f41baa1bd61afb68f395,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,21.1587
0x079bb6db4128480eb4a8ebe72018084b15a5a5ff,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x0812eba2f63c587585dcbd2d9a99a93651fce6cf,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0814573ea558be11ddf6948aaeaddc35eedc7e8c,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x081ea225fb53925331f1c87f1b64daf960837799,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0835a23051b018a804fd79e9be210b8507ffabd4,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,11.2166
0x087be59edb900d546be5aacdb0fc1f840e4d92e8,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,2.0962
0x08857bc778b5542a86a1a6e162d9023c789a97f5,0x03ad10c6dd6cd982b1785b8cd5316b8b626e3390,4749316,79.5778
0x0895b8fc4e523db9a50154280be67f650c1c59de,0xc8dab61bc9d83123649691120d1c8350e41abd60,4749316,0.0
0x08aaa30a8a9bb3320ec82bd254ae08211dc24152,0x89aa47e1ccb8d4a5b1119358182f06d04471109d,4749316,28.9723
0x08e0f95e99324d0b210e29a08d0a5cba191d3f22,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x08f2853e96f1897cd83ae2cdca3455ee8706cc1a,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x08f2853e96f1897cd83ae2cdca3455ee8706cc1a,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.9992
0x0905dd4bb0766306b4c27fc54ced92fabe7babff,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.0
0x0907d9c5935452796b5229e790841af8728df7c6,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,4.0207
0x096eb2ebd3d6908432dc092c38714e1969725f3d,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x09ad11c5845c799986aa0a3b4710889e1be52435,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,3.194
0x09c41efc1c7e2c2a11bb153ef39affeaff2cedcd,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x09c576a0cfd658e221c1cea85372101bb015035c,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,41.1042
0x09dfa0d77125978997dd9f94a0f870d3f2900da5,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x0a345f5a28c7c275dd2634fe526b9f6b52389358,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
0x0a3e1b6279185153ebd38eed6d341741837129fb,0xc8dab61bc9d83123649691120d1c8350e41abd60,4749316,0.0
0x0a472767d714cf5893ff5f65c4b16fe4f0610939,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,102.0047
0x0a7d6a8172a9cdf65d076b8be650600991e88ae1,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,7.4452
0x0aac94d8cfbad8e3898abe56e1815b9aa7348774,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,6.5297
0x0ad9774b6a5247b2e24947b0383540246c9fdad9,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,28.3419
0x0b0664235f9bf5cc4433ea93d442be423ebbd6e7,0xe1b9041bc284651bbb7a8bd0b2edbfbdf56d2fdc,4749316,0.0
0x0b43055e9a2d32cc8f2707549f8848cb744bc795,0x50273860341bb80de359cd391bef9b2eb228753c,4749316,2.4959
0x0b6b660201359fbf585064c30417a90c02fcf264,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,0.0
0x0b9286da4a029c40461a103ff048a264c5fbaaf4,0xeb4b0563aac65980245660496e76d03c90ad7b26,4749316,7.9887
0x0b9d68ae51bbe4d370bd0c917c5483342f37af00,0x7f3315d773350883ebb4f643ab5ec0d32d162c8a,4749316,0.0
